username,password,games_played,games_won,games_lost,paper,rock,scissors,first name,last name
ccc,1234,149,50,45,124,19,6,undefined,undefined
antonstengel,123,77,21,32,24,33,20,undefined,undefined
user1,pass,5,0,5,5,0,0,undefined,undefined
user2,pass,13,13,0,4,3,6,undefined,undefined
user3,pass,5,0,5,5,0,0,undefined,undefined
user4,pass,5,0,5,5,0,0,undefined,undefined
user5,pass,5,0,5,5,0,0,undefined,undefined
user6,pass,5,0,5,5,0,0,undefined,undefined
user7,pass,5,0,5,5,0,0,undefined,undefined
user8,pass,5,0,5,5,0,0,undefined,undefined
user9,pass,5,0,5,5,0,0,undefined,undefined
user10,pass,5,0,5,5,0,0,undefined,undefined
user11,pass,5,0,5,5,0,0,undefined,undefined
user12,pass,5,0,5,5,0,0,undefined,undefined
user13,pass,5,0,5,5,0,0,undefined,undefined
user14,pass,5,0,5,5,0,0,undefined,undefined
testuser,lastpass,1,0,1,1,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
undefined,undefined,0,0,0,0,0,0,undefined,undefined
